depth,u_vel,v_vel,w_vel
0,-0.08118773785210759,-0.04453366310100648,0.0
1,-0.05298222520895294,-0.03255348974405376,0.0
2,-0.05546014082220121,-0.03287087919811277,0.0
3,-0.030467607764196294,0.0002111670807750692,0.0
4,-0.03226167432257667,-0.01369084665874169,0.0
5,-0.09714071691716306,-0.14087720028226738,0.0
6,-0.06590881397166842,-0.03462706295278966,0.0
7,-0.1016015203397026,-0.032192940483400455,0.0
8,-0.027814661963541123,-0.0377647447117242,0.0
9,-0.08885631328653858,-0.033942638044069474,0.0
10,-0.10825342019333464,-0.11917406103959206,0.0
11,-0.11174217416411623,-0.02474109223995334,0.0
12,-0.13869872411466158,-0.12409055868639156,0.0
13,-0.1471019181723262,-0.04342687581746244,0.0
14,-0.13977983042347614,-0.11517095450558297,0.0
15,-0.17554420527321238,-0.0440790303263381,0.0
16,-0.1658621092617436,-0.08480487264465632,0.0
17,-0.12578430277854286,-0.052491111721426585,0.0
18,-0.182483099881252,-0.0977688740964552,0.0
19,-0.12811335664571197,-0.04506595421467618,0.0
20,-0.17829143326656163,-0.08627589861790085,0.0
21,-0.15530168508305894,-0.06943880215155179,0.0
22,-0.1737405335676994,-0.07831520582117335,0.0
23,-0.166820243408966,-0.028956577450798188,0.0
24,-0.14906771846866643,-0.09023608080463964,0.0
25,-0.16316705303313855,-0.05503241579755255,0.0
26,-0.1488836513226144,-0.06624343803282022,0.0
27,-0.15809231268296922,-0.039020996071950226,0.0
28,-0.11518584892895907,-0.07709607101893239,0.0
29,-0.11626643752624845,-0.055250269952498585,0.0
30,-0.13236298103314803,-0.08436027034238525,0.0
31,-0.10559731451761169,-0.032921775711826085,0.0
32,-0.11873362686049506,-0.08042884586072645,0.0
33,-0.05378600883600539,-0.039971975746392344,0.0
34,-0.13630100881186516,-0.06917149227162238,0.0
35,-0.1180376287614441,-0.04826214146617279,0.0
36,-0.15892084116824767,-0.059775892765353625,0.0
37,-0.1222978943650106,0.003444489842747329,0.0
38,-0.14981522521239618,-0.036480477641111786,0.0
39,-0.08298364305771179,0.05826048900457881,0.0
40,-0.16753626285060289,0.03911228547826572,0.0
41,-0.12226601449516558,0.05263958027901353,0.0
42,-0.16713703375618338,0.01905990003737309,0.0
43,-0.17090678592105155,0.0003378017792388035,0.0
44,-0.07779401880354252,0.03820005795160217,0.0
45,-0.17891415216387177,-0.01156206835360584,0.0
46,-0.12287443290748586,0.00512185097312481,0.0
47,-0.10356873352305078,0.010046446994898362,0.0
48,-0.10163077768954763,-0.00429167074310955,0.0
49,0.0392500042336268,0.007854215096221853,0.0
50,-0.27376727906835185,-0.10016217992522261,0.0
51,-0.01626313584308709,0.09035875175627826,0.0
52,-0.07816672121151516,-0.002689173208172521,0.0
53,0.07437044565393328,-0.040148005408135554,0.0
54,-0.04296547000865011,-0.1099009193831663,0.0
55,-0.011281614975682617,-0.06204985304937296,0.0
56,-0.02860548469983374,-0.04050380149615666,0.0
57,-0.20759831725997632,-0.07417201442425632,0.0
58,-0.07482623451116673,-0.07828277546240967,0.0
59,-0.012317785944080686,0.0696317147361908,0.0
60,-0.16106401102723597,-0.13259103613509116,0.0
61,-0.16636307797539654,-0.14874553582647054,0.0
62,-0.014667587654510523,0.015621275280187927,0.0
63,-0.22541838927665067,-0.16503359911260385,0.0
64,-0.2049329239463112,-0.04217347140599815,0.0
65,-0.11668059661839125,-0.09487631005070175,0.0
66,-0.11019303039277088,-0.04003280818157188,0.0
67,-0.12422918318149083,-0.08403262690688175,0.0
68,-0.050716147032544935,-0.007347081309139071,0.0
69,-0.1191774469769834,-0.0842536849746367,0.0
70,-0.14709664830928001,-0.06398229843190344,0.0
71,-0.2366454795640793,-0.19848697813237662,0.0
72,-0.13362735549434493,-0.0359915355920785,0.0
73,-0.21259020437224446,-0.19601400517170367,0.0
74,-0.26308957190131216,-0.17461354910632582,0.0
75,-0.09630112066001753,-0.03787709508048506,0.0
76,-0.09681388667339065,-0.031035349768141776,0.0
77,-0.30681981869736735,-0.3198706456765237,0.0
78,-0.226780827747284,-0.26228236551133693,0.0
79,-0.0557006498034411,0.01637292018050281,0.0
