depth,u_vel,v_vel,w_vel
0,-0.03310092834933803,-0.07031954810414488,0.0
1,-0.04670322618419643,-0.12406351110587036,0.0
2,-0.13791380903433967,-0.021198209468846346,0.0
3,-0.04075098235630839,-0.08550100088564914,0.0
4,-0.07660474190507885,-0.07431086984221319,0.0
5,-0.061783399582225146,-0.0489171933957775,0.0
6,-0.03663113308602554,-0.04415226131652989,0.0
7,-0.0467850759745193,-0.04816129519181853,0.0
8,-0.05448179037976858,-0.1307710432309978,0.0
9,-0.03361403301704101,-0.07680309601284163,0.0
10,-0.059409776767936004,-0.16152793176465963,0.0
11,-0.03152135585025572,-0.1428736878058539,0.0
12,-0.08223462133562126,-0.19343611523033957,0.0
13,-0.04507177619170209,-0.1580557031508268,0.0
14,-0.08246413824688575,-0.21626720020987603,0.0
15,-0.05123247410626951,-0.16212854850240196,0.0
16,-0.09038101189571583,-0.19025918949332077,0.0
17,-0.06506704119364214,-0.1569776254021782,0.0
18,-0.06876043171194028,-0.18314926889062202,0.0
19,-0.06269204805424904,-0.156142198002364,0.0
20,-0.08630859259114183,-0.1534495798312238,0.0
21,-0.05750882836161393,-0.1314382115118692,0.0
22,-0.07210710027981418,-0.13384568638323685,0.0
23,-0.030729877385211095,-0.10191016537527316,0.0
24,-0.08047431313882247,-0.12440793222724446,0.0
25,-0.03759950011530651,-0.12428137742682094,0.0
26,-0.05846361991708863,-0.1338679787544541,0.0
27,-0.04533989868759688,-0.09007854060003526,0.0
28,-0.02451411452771941,-0.12630672269071797,0.0
29,-0.030022215640534766,-0.08902452505509924,0.0
30,-0.04412060951495624,-0.14936996434907868,0.0
31,-0.03736112230081997,-0.0615456773420411,0.0
32,-0.02096419741419878,-0.16365629640150908,0.0
33,-0.002734440238633288,-0.1389019326625878,0.0
34,0.002330260059668704,-0.17571861796362448,0.0
35,0.03965171400780227,-0.13721142926234448,0.0
36,0.035626276509704395,-0.16319974451047467,0.0
37,0.041097089292267935,-0.11678549898535036,0.0
38,0.008550780237322447,-0.015095650642209083,0.0
39,0.08722406126374616,-0.08660241095293116,0.0
40,0.10131809706278189,-0.11242200656836647,0.0
41,0.14105225238042118,-0.14309916821083005,0.0
42,0.11907866578871343,-0.07631997028012831,0.0
43,0.18552795052164356,-0.1688176585007933,0.0
44,0.07362892890457197,-0.08758170962249283,0.0
45,0.1666031493653332,-0.16479186008288083,0.0
46,0.09708367162617483,-0.12770623636733325,0.0
47,0.16734568048634363,-0.17354731317206432,0.0
48,0.07583922909414424,-0.09944602128020545,0.0
49,0.15920328097794292,-0.16683148315447568,0.0
50,0.2164714702594492,-0.1392883634536981,0.0
51,0.16445110941199972,-0.12429281395719785,0.0
52,0.21846971459587605,-0.18996873748332826,0.0
53,0.1683830419815378,-0.14929027598775907,0.0
54,0.19279186533738518,-0.16675002913749215,0.0
55,0.20434396668149057,-0.22065146120382906,0.0
56,0.17615986744313894,-0.15947044972509555,0.0
57,0.23479511421188828,-0.24272298486631827,0.0
58,0.10928323409121453,-0.12599242249129317,0.0
59,0.1926961710903007,-0.28296398968462266,0.0
60,0.10175945888256534,-0.1322425689891543,0.0
61,0.19046338917015432,-0.13399395256902977,0.0
62,0.10417805889949193,-0.10526424068566129,0.0
63,0.13975389125157936,-0.10155537805966737,0.0
64,0.238996616227644,-0.23925547029031238,0.0
65,0.07682582643235529,-0.13076578289204824,0.0
66,0.21122126395114202,-0.22351620605203928,0.0
67,0.07173149292524908,-0.10905855103519947,0.0
68,0.17812079671108555,-0.17767000996071727,0.0
69,0.10167606737081177,-0.016923149198910404,0.0
70,0.11774606863953854,-0.07999444668062601,0.0
71,0.04271717912565799,-0.04036875485700581,0.0
72,0.1238045610189618,-0.17130992011750654,0.0
73,0.07511971553382632,-0.10289807135594775,0.0
74,0.1404368702690324,-0.2128121675913947,0.0
75,0.1974273230752021,-0.1524319588781353,0.0
76,0.16279944951146383,-0.11007094427126714,0.0
77,0.10704466123375588,-0.12839296910946293,0.0
78,0.2614849128288619,-0.21410696439327215,0.0
79,0.3204997734765697,-0.12964484399876566,0.0
80,0.30373791353309826,-0.18799095162534787,0.0
81,0.3524445115432961,-0.1941072121406139,0.0
82,0.16516537206310253,-0.07795836150210887,0.0
83,0.2533564928007494,-0.12762073326867693,0.0
84,0.2968009903700131,-0.17472107700885964,0.0
85,0.2076109922083338,-0.23384997235806587,0.0
86,0.2481825807223012,-0.1845530478544398,0.0
87,0.28845504890352697,-0.36560823716213714,0.0
88,0.21436531378702148,-0.019639400476005275,0.0
89,0.3152118353794632,-0.24033811843263142,0.0
90,0.4237360386149603,-0.321796460831367,0.0
91,0.24453314447900487,-0.5410931811727571,0.0
92,0.350098337251866,-0.30807768237049393,0.0
93,0.2874648679946479,-0.3567518106058165,0.0
94,0.3424778081616608,-0.34352514311718335,0.0
95,0.3216831147334653,-0.33509572934701143,0.0
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
