depth,u_vel,v_vel,w_vel
0,-0.03469602133668951,-0.0490560136491665,0.0
1,-0.048967311712598445,-0.042839652482606086,0.0
2,-0.023341383902679303,-0.023315645431039495,0.0
3,-0.021863643953633063,-0.023710976512480143,0.0
4,-0.030685620736652583,-0.029397103251657595,0.0
5,-0.007922128154912063,-0.05726949190099795,0.0
6,-0.032088257420558576,-0.051408821068844014,0.0
7,-0.04709328126483227,-0.05844734597723396,0.0
8,-0.03561743998375564,-0.040167136570629106,0.0
9,-0.07841817155303378,-0.08091995903297935,0.0
10,-0.04630617969639858,-0.02197450872164881,0.0
11,-0.07892603905268206,-0.05549014186164537,0.0
12,-0.06672382501177118,-0.0248470424507651,0.0
13,-0.06740056963516704,-0.031139666271547555,0.0
14,-0.0695643998769752,-0.006671584217249428,0.0
15,-0.07882792438802357,-0.0366299935377051,0.0
16,-0.07116816385833438,-0.006226161564465531,0.0
17,-0.08110914687015151,-0.022636954301432873,0.0
18,-0.09575467335809693,-0.03187699071653696,0.0
19,-0.09087503559920648,-0.051467005285138194,0.0
20,-0.11414827591248253,-0.07039805565458963,0.0
21,-0.10624367800974509,-0.029864249892107758,0.0
22,-0.10030398448705699,-0.05544238332345501,0.0
23,-0.10359689294256748,-0.03146456286112514,0.0
24,-0.10396623458890851,-0.0846626612126893,0.0
25,-0.07231941197055129,-0.008255948030550377,0.0
26,-0.09019982078524752,-0.1081900256700987,0.0
27,-0.10328710436459178,-0.023959607805657417,0.0
28,-0.08156029146324752,-0.07006696943424745,0.0
29,-0.08406175867756466,-0.03789760968024237,0.0
30,0.009560590118837278,-0.06021413674750979,0.0
31,-0.09944155241478728,-0.11066249330308972,0.0
32,-0.02252496465825913,-0.04688250899947752,0.0
33,-0.04410531567108908,-0.08536284138289998,0.0
34,-0.058314968614661164,-0.04344590228686744,0.0
35,-0.06727747804217986,-0.09886855498451193,0.0
36,-0.01833496570888203,-0.07169171627176908,0.0
37,-0.007489003628532919,-0.07241841059461294,0.0
38,-0.10076310258898258,-0.11766229000558859,0.0
39,4.950527059537675e-05,-0.06428488916508476,0.0
40,-0.17702269641738239,-0.17185775535664374,0.0
41,0.012143141788002274,-0.025628138384077476,0.0
42,-0.22756335384587567,-0.1803198236931769,0.0
43,-0.04525445294705962,-0.0516630384246359,0.0
44,-0.11795480284636632,-0.10811619598578792,0.0
45,-0.1096756751741151,-0.05806168411261167,0.0
46,-0.21382015457228618,-0.11562409844168886,0.0
47,0.029365670949122208,-0.16089636084576503,0.0
48,-0.14245321243675083,-0.3153334290700326,0.0
49,-0.04253834035713359,-0.2295327326499066,0.0
50,-0.14337133658910745,-0.2529012141362347,0.0
51,-0.20361196664086847,-0.17720311127887628,0.0
52,-0.23695276455923353,-0.19956869154636245,0.0
53,-0.17265577871468046,-0.19387482052147012,0.0
54,-0.22934890094437477,-0.1545520203264821,0.0
55,-0.30510894405144984,-0.1280272646299085,0.0
56,-0.06525085990621082,-0.23317203924520474,0.0
57,-0.0007446859582035115,-0.14319973126073945,0.0
58,-0.07681057634816062,-0.22396803182993255,0.0
59,-0.12093666579585079,-0.2537984622702563,0.0
60,-0.1384142259107161,-0.25125536791766345,0.0
61,-0.05428521979757825,-0.1529233405306849,0.0
62,-0.09109332799022311,-0.13072761164186897,0.0
63,-0.3265852667314122,-0.3866855426058726,0.0
64,-0.16445208280076884,-0.0950123272898381,0.0
65,-0.3133195650969901,-0.19764962589476312,0.0
66,-0.3236991059086288,-0.11797934036933136,0.0
67,-0.4514886745677469,-0.15639360058415377,0.0
68,-0.3890226936486976,-0.13185495877977055,0.0
69,,,
70,,,
71,,,
72,,,
73,-0.24025625178665214,-0.1206363319508039,0.0
74,-0.19471533401675456,0.018258650556404965,0.0
75,-0.2322848527091453,-0.054770584606055876,0.0
76,-0.6625300878383203,-0.14860222875491405,0.0
77,-0.11030338409250573,0.04846382735653691,0.0
78,-0.6486574406354628,-0.10849452214311173,0.0
79,-0.12726235039544592,0.012124867000607206,0.0
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
