# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
0.1,0,0,-5,0,0,3.14159
0.2,-0.00129107,0,-5.00512,0,-0.000574793,3.14159
0.4,-0.00112093,0,-5.00399,0,-0.00363075,3.14159
0.5,-0.000430703,0,-5.00321,0,-0.00586494,3.14159
0.8,0.00263303,0,-5.0001,0,-0.0147764,3.14159
0.9,0.00397548,0,-4.99883,0,-0.0183902,3.14159
1,0.00547312,0,-4.99744,0,-0.0222897,3.14159
1.1,0.0071224,0,-4.99595,0,-0.0264563,3.14159
1.2,0.00891957,0,-4.99436,0,-0.0308723,3.14159
1.3,0.0108607,0,-4.99267,0,-0.0355207,3.14159
1.4,0.0129418,0,-4.99089,0,-0.0403852,3.14159
1.5,0.0151586,0,-4.98903,0,-0.0454503,3.14159
1.6,0.0175068,0,-4.98708,0,-0.0507006,3.14159
1.7,0.0199819,0,-4.98505,0,-0.0561218,3.14159
1.8,0.0225794,0,-4.98296,0,-0.0616996,3.14159
1.9,0.0252946,0,-4.98079,0,-0.0674206,3.14159
2,0.028123,0,-4.97856,0,-0.0732715,3.14159
2.1,0.0310597,0,-4.97627,0,-0.0792399,3.14159
2.2,0.0341001,0,-4.97393,0,-0.0853135,3.14159
2.3,0.0372394,0,-4.97153,0,-0.0914806,3.14159
2.4,0.0404729,0,-4.96909,0,-0.0977299,3.14159
2.5,0.0437959,0,-4.96661,0,-0.10405,3.14159
2.6,0.0472036,0,-4.96409,0,-0.110432,3.14159
2.7,0.0506915,0,-4.96153,0,-0.116864,3.14159
2.8,0.054255,0,-4.95894,0,-0.123337,3.14159
2.9,0.0578895,0,-4.95632,0,-0.129842,3.14159
3,0.0615907,0,-4.95368,0,-0.136369,3.14159
3.1,0.0653542,0,-4.95101,0,-0.142911,3.14159
3.2,0.0691757,0,-4.94832,0,-0.149458,3.14159
3.3,0.0730512,0,-4.94562,0,-0.156004,3.14159
3.4,0.0769766,0,-4.9429,0,-0.16254,3.14159
3.5,0.0809479,0,-4.94017,0,-0.169059,3.14159
3.6,0.0849615,0,-4.93743,0,-0.175554,3.14159
3.7,0.0890136,0,-4.93468,0,-0.18202,3.14159
3.8,0.0931007,0,-4.93192,0,-0.188448,3.14159
3.9,0.0972194,0,-4.92916,0,-0.194835,3.14159
4,0.101366,0,-4.9264,0,-0.201173,3.14159
4.1,0.105539,0,-4.92363,0,-0.207457,3.14159
4.2,0.109733,0,-4.92086,0,-0.213683,3.14159
4.3,0.113947,0,-4.9181,0,-0.219846,3.14159
4.4,0.118177,0,-4.91534,0,-0.225941,3.14159
4.5,0.122421,0,-4.91258,0,-0.231964,3.14159
4.6,0.126677,0,-4.90982,0,-0.23791,3.14159
4.7,0.130942,0,-4.90707,0,-0.243777,3.14159
4.8,0.135214,0,-4.90433,0,-0.249561,3.14159
4.9,0.139491,0,-4.90159,0,-0.255258,3.14159
5,0.143771,0,-4.89886,0,-0.260865,3.14159
